Gebied;Totaal;Totaal_vrouwen;Totaal_mannen;Vrouwen_20_24;Vrouwen_25_29;Vrouwen_30_34;Vrouwen_35_39;Vrouwen_40_44;Vrouwen_45_49;Vrouwen_50_54;Vrouwen_55_59;Vrouwen_60_64;Vrouwen_65plus;Mannen_20_24;Mannen_25_29;Mannen_30_34;Mannen_35_39;Mannen_40_44;Mannen_45_49;Mannen_50_54;Mannen_55_59;Mannen_60_64;Mannen_65plus
België;30950;18326;12624;1190;2269;1854;2571;2205;2048;2117;1685;1413;974;528;1221;904;1557;1386;1202;1455;1487;1417;1467
Gewest Vlaanderen;17087;10423;6664;560;1099;1197;1612;1409;1180;1218;942;768;438;198;460;461;861;739;624;827;836;832;826
Gewest Wallonië;10937;6196;4741;506;803;493;819;686;734;742;578;485;350;264;476;278;579;569;495;543;533;466;538
Gewest Brussels hoofdstedelijk gewest;2926;1707;1219;124;367;164;140;110;134;157;165;160;186;66;285;165;117;78;83;85;118;119;103
Prov Vlaams Brabant;3649;2305;1344;122;277;258;320;311;277;252;229;163;96;54;130;92;190;144;125;136;180;142;151
Prov West-Vlaanderen;3334;1877;1457;126;153;190;311;263;211;216;169;143;95;40;70;92;186;157;133;205;184;183;207
Prov Oost-Vlaanderen;3966;2531;1435;119;262;314;433;320;280;289;206;184;124;32;75;93;182;158;154;192;185;184;180
Prov Antwerpen;4098;2522;1576;130;278;292;367;321;294;346;232;171;91;39;120;124;182;164;146;202;198;189;212
Prov Limburg;2040;1188;852;63;129;143;181;194;118;115;106;107;32;33;65;60;121;116;66;92;89;134;76
Prov Waals Brabant;1917;1220;697;96;138;83;159;126;117;180;135;101;85;42;87;38;97;87;57;93;67;63;66
Prov Henegouwen;3331;1693;1638;110;182;131;219;189;221;212;153;152;124;71;137;77;171;207;161;184;195;192;243
Prov Luik;3200;1847;1353;153;268;146;250;202;221;209;177;141;80;84;133;88;175;162;163;146;160;131;111
Prov Namen;1538;858;680;70;114;74;96;104;117;93;80;62;48;39;60;33;97;74;76;81;80;54;86
Prov Luxemburg;951;578;373;77;101;59;95;65;58;48;33;29;13;28;59;42;39;39;38;39;31;26;32
Prov Brussels hoofdstedelijk gewest;2926;1707;1219;124;367;164;140;110;134;157;165;160;186;66;285;165;117;78;83;85;118;119;103
