Territoire;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;15274;5677;9597;0;510;682;651;863;734;702;840;472;223;0;143;293;342;487;590;1046;1823;1925;2948
Région Flandre;8461;3082;5379;0;340;386;385;510;432;400;370;184;75;0;103;166;194;277;333;611;1041;1044;1610
Région Wallonie;5260;1919;3341;0;133;214;189;275;235;226;333;209;105;0;29;92;113;170;199;344;611;700;1083
Région Région de Bruxelles-capitale;1553;676;877;0;37;82;77;78;67;76;137;79;43;0;11;35;35;40;58;91;171;181;255
Prov Brabant flamand;1731;724;1007;0;72;91;72;99;101;108;110;44;27;0;16;37;44;44;74;128;196;191;277
Prov Flandre occidentale;1535;429;1106;0;65;55;61;79;50;48;42;20;9;0;16;33;32;58;68;109;194;227;369
Prov Flandre orientale;1926;677;1249;0;84;103;95;96;89;88;67;44;11;0;25;34;52;62;69;157;226;246;378
Prov Anvers;2209;853;1356;0;77;96;110;161;129;108;99;55;18;0;27;35;49;65;87;136;285;255;417
Prov Limbourg;1060;399;661;0;42;41;47;75;63;48;52;21;10;0;19;27;17;48;35;81;140;125;169
Prov Brabant wallon;730;327;403;0;21;31;40;47;41;41;53;38;15;0;4;13;13;20;28;42;87;76;120
Prov Hainaut;1661;551;1110;0;40;59;40;70;74;69;110;55;34;0;10;34;28;36;60;102;220;247;373
Prov Liège;1639;577;1062;0;34;71;59;88;61;61;98;70;35;0;11;26;39;62;66;114;191;217;336
Prov Namur;851;320;531;0;22;38;36;46;34;42;53;36;13;0;2;18;16;33;32;66;81;105;178
Prov Luxembourg;379;144;235;0;16;15;14;24;25;13;19;10;8;0;2;1;17;19;13;20;32;55;76
Prov Région de Bruxelles-capitale;1553;676;877;0;37;82;77;78;67;76;137;79;43;0;11;35;35;40;58;91;171;181;255
