Gebied;Totaal;Totaal_vrouwen;Totaal_mannen;Vrouwen_20_24;Vrouwen_25_29;Vrouwen_30_34;Vrouwen_35_39;Vrouwen_40_44;Vrouwen_45_49;Vrouwen_50_54;Vrouwen_55_59;Vrouwen_60_64;Vrouwen_65plus;Mannen_20_24;Mannen_25_29;Mannen_30_34;Mannen_35_39;Mannen_40_44;Mannen_45_49;Mannen_50_54;Mannen_55_59;Mannen_60_64;Mannen_65plus
België;1458;1128;330;158;340;207;174;69;68;49;27;19;17;15;32;28;29;33;19;25;41;39;69
Gewest Vlaanderen;1150;973;177;147;322;184;154;53;47;29;15;11;11;11;17;16;13;14;9;7;19;27;44
Gewest Wallonië;230;111;119;8;9;14;15;13;17;15;7;8;5;3;11;6;11;12;8;16;17;10;25
Gewest Brussels hoofdstedelijk gewest;78;44;34;3;9;9;5;3;4;5;5;0;1;1;4;6;5;7;2;2;5;2;0
Prov Vlaams Brabant;168;134;34;12;45;28;25;6;5;6;3;1;3;2;1;2;1;4;2;2;5;4;11
Prov West-Vlaanderen;269;224;45;46;69;48;28;7;10;8;4;1;3;4;3;5;2;4;1;2;4;7;13
Prov Oost-Vlaanderen;323;266;57;40;93;39;43;16;14;9;6;4;2;2;9;7;8;2;5;0;5;12;7
Prov Antwerpen;289;261;28;40;87;50;44;18;11;4;2;2;3;3;4;2;1;2;1;0;3;2;10
Prov Limburg;101;88;13;9;28;19;14;6;7;2;0;3;0;0;0;0;1;2;0;3;2;2;3
Prov Waals Brabant;58;26;32;2;2;2;3;4;4;7;1;1;0;2;5;1;2;3;1;3;8;0;7
Prov Henegouwen;54;26;28;1;4;4;4;5;4;0;3;0;1;0;2;1;2;2;2;4;5;5;5
Prov Luik;65;34;31;5;2;4;6;3;5;3;2;0;4;0;3;1;4;5;0;3;2;4;9
Prov Namen;39;18;21;0;1;3;0;0;3;5;1;5;0;1;1;2;2;2;3;5;2;1;2
Prov Luxemburg;14;7;7;0;0;1;2;1;1;0;0;2;0;0;0;1;1;0;2;1;0;0;2
Prov Brussels hoofdstedelijk gewest;78;44;34;3;9;9;5;3;4;5;5;0;1;1;4;6;5;7;2;2;5;2;0
