Gebied;Specialiteit;Totaal;Totaal_vrouwen;Totaal_mannen;Vrouwen_20_24;Vrouwen_25_29;Vrouwen_30_34;Vrouwen_35_39;Vrouwen_40_44;Vrouwen_45_49;Vrouwen_50_54;Vrouwen_55_59;Vrouwen_60_64;Vrouwen_65plus;Mannen_20_24;Mannen_25_29;Mannen_30_34;Mannen_35_39;Mannen_40_44;Mannen_45_49;Mannen_50_54;Mannen_55_59;Mannen_60_64;Mannen_65plus
België;ALLE SPECIALITEITEN;4254;1576;2678;0;0;115;316;321;264;170;144;123;123;0;0;77;200;283;301;361;377;367;712
Gewest Vlaanderen;ALLE SPECIALITEITEN;2509;940;1569;0;0;76;206;212;171;108;74;53;40;0;0;54;143;174;195;215;205;193;390
Gewest Wallonië;ALLE SPECIALITEITEN;1262;418;844;0;0;21;69;83;62;44;49;43;47;0;0;16;38;86;78;122;135;135;234
Gewest Brussels hoofdstedelijk gewest;ALLE SPECIALITEITEN;483;218;265;0;0;18;41;26;31;18;21;27;36;0;0;7;19;23;28;24;37;39;88
Prov Vlaams Brabant;ALLE SPECIALITEITEN;635;264;371;0;0;19;56;62;42;23;31;18;13;0;0;13;34;36;42;52;40;51;103
Prov West-Vlaanderen;ALLE SPECIALITEITEN;465;136;329;0;0;12;41;21;26;19;2;9;6;0;0;6;25;30;40;41;43;36;108
Prov Oost-Vlaanderen;ALLE SPECIALITEITEN;556;219;337;0;0;18;51;55;35;25;13;9;13;0;0;12;33;43;48;48;47;34;72
Prov Antwerpen;ALLE SPECIALITEITEN;606;244;362;0;0;20;46;55;50;29;23;16;5;0;0;16;31;36;46;52;52;54;75
Prov Limburg;ALLE SPECIALITEITEN;247;77;170;0;0;7;12;19;18;12;5;1;3;0;0;7;20;29;19;22;23;18;32
Prov Waals Brabant;ALLE SPECIALITEITEN;272;85;187;0;0;0;12;11;14;12;18;8;10;0;0;4;6;16;22;25;31;27;56
Prov Henegouwen;ALLE SPECIALITEITEN;319;89;230;0;0;5;14;27;9;3;9;10;12;0;0;4;5;14;19;43;42;40;63
Prov Luik;ALLE SPECIALITEITEN;427;160;267;0;0;9;24;29;28;18;13;19;20;0;0;4;15;35;25;31;42;46;69
Prov Namen;ALLE SPECIALITEITEN;184;64;120;0;0;7;14;13;8;6;8;3;5;0;0;4;11;13;11;17;14;16;34
Prov Luxemburg;ALLE SPECIALITEITEN;60;20;40;0;0;0;5;3;3;5;1;3;0;0;0;0;1;8;1;6;6;6;12
Prov Brussels hoofdstedelijk gewest;ALLE SPECIALITEITEN;483;218;265;0;0;18;41;26;31;18;21;27;36;0;0;7;19;23;28;24;37;39;88
België;NUCLEAIRE IN VITRO GENEESKUNDE;210;83;127;0;0;0;0;4;11;20;24;11;13;0;0;0;0;2;7;17;28;32;41
België;FUNCTIONELE EN PROFESSIONELE REVALIDATIE VAN GEHANDICAPTEN;975;353;622;0;0;9;36;60;66;37;33;46;66;0;0;2;25;27;40;56;55;91;326
