Territoire;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;2077;1238;839;136;319;181;78;66;118;140;123;68;9;62;182;112;77;53;66;95;99;83;10
Région Flandre;848;558;290;81;182;109;40;29;34;42;25;14;2;28;72;51;25;12;14;29;35;21;3
Région Wallonie;981;552;429;42;97;51;29;31;74;89;87;47;5;31;78;42;37;37;42;58;50;51;3
Région Région de Bruxelles-capitale;248;128;120;13;40;21;9;6;10;9;11;7;2;3;32;19;15;4;10;8;14;11;4
Prov Brabant flamand;271;152;119;22;48;28;15;6;9;15;7;2;0;6;23;12;10;4;6;15;26;14;3
Prov Flandre occidentale;106;71;35;14;18;18;2;5;2;6;5;1;0;7;10;8;2;1;2;2;2;1;0
Prov Flandre orientale;223;148;75;19;53;36;10;8;12;5;1;4;0;7;25;21;6;5;2;5;3;1;0
Prov Anvers;159;118;41;12;44;13;8;5;10;10;9;6;1;4;10;7;3;0;4;6;3;4;0
Prov Limbourg;89;69;20;14;19;14;5;5;1;6;3;1;1;4;4;3;4;2;0;1;1;1;0
Prov Brabant wallon;112;70;42;2;9;6;9;7;7;11;12;6;1;0;5;2;6;8;6;3;5;7;0
Prov Hainaut;340;161;179;17;36;21;6;8;16;18;22;16;1;19;39;19;16;4;17;19;20;25;1
Prov Liège;294;196;98;9;32;13;9;10;34;39;34;14;2;9;19;9;6;9;7;14;14;11;0
Prov Namur;191;104;87;12;14;10;5;5;16;18;17;7;0;3;14;11;7;13;10;16;8;4;1
Prov Luxembourg;44;21;23;2;6;1;0;1;1;3;2;4;1;0;1;1;2;3;2;6;3;4;1
Prov Région de Bruxelles-capitale;248;128;120;13;40;21;9;6;10;9;11;7;2;3;32;19;15;4;10;8;14;11;4
