Gebied;Totaal;Totaal_vrouwen;Totaal_mannen;Vrouwen_20_24;Vrouwen_25_29;Vrouwen_30_34;Vrouwen_35_39;Vrouwen_40_44;Vrouwen_45_49;Vrouwen_50_54;Vrouwen_55_59;Vrouwen_60_64;Vrouwen_65plus;Mannen_20_24;Mannen_25_29;Mannen_30_34;Mannen_35_39;Mannen_40_44;Mannen_45_49;Mannen_50_54;Mannen_55_59;Mannen_60_64;Mannen_65plus
België;9259;7201;2058;592;1062;978;789;574;881;888;907;485;45;227;372;300;188;161;155;214;251;172;18
Gewest Vlaanderen;5399;4398;1001;402;608;542;486;369;590;582;545;252;22;139;178;118;86;68;64;110;132;98;8
Gewest Wallonië;3294;2392;902;166;383;358;260;183;256;272;305;193;16;86;164;151;85;75;74;96;101;62;8
Gewest Brussels hoofdstedelijk gewest;566;411;155;24;71;78;43;22;35;34;57;40;7;2;30;31;17;18;17;8;18;12;2
Prov Vlaams Brabant;1252;956;296;77;112;114;106;76;124;133;146;62;6;28;46;29;20;24;20;41;49;36;3
Prov West-Vlaanderen;929;756;173;89;120;91;82;49;104;97;77;44;3;30;38;20;12;15;15;16;16;11;0
Prov Oost-Vlaanderen;1184;990;194;70;153;112;103;103;147;115;115;67;5;26;29;30;19;10;11;19;25;24;1
Prov Antwerpen;1382;1138;244;100;138;135;133;91;156;172;152;53;8;28;37;31;31;14;18;24;34;23;4
Prov Limburg;652;558;94;66;85;90;62;50;59;65;55;26;0;27;28;8;4;5;0;10;8;4;0
Prov Waals Brabant;379;275;104;16;36;36;33;22;31;34;43;24;0;8;23;18;8;9;8;9;11;9;1
Prov Henegouwen;1280;922;358;62;158;151;100;75;93;104;107;67;5;40;68;61;33;29;30;32;35;26;4
Prov Luik;971;727;244;66;118;105;72;50;72;82;85;68;9;17;44;47;25;18;17;25;34;15;2
Prov Namen;511;351;160;19;50;56;44;29;40;38;46;27;2;17;23;23;18;18;13;23;14;10;1
Prov Luxemburg;153;117;36;3;21;10;11;7;20;14;24;7;0;4;6;2;1;1;6;7;7;2;0
Prov Brussels hoofdstedelijk gewest;566;411;155;24;71;78;43;22;35;34;57;40;7;2;30;31;17;18;17;8;18;12;2
