Territoire;Total;Total_Femmes;Total_Hommes;Femmes_moins20;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_moins20;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;118761;108753;10008;783;14855;17451;13975;12597;10616;10441;10675;8731;5448;3181;77;1769;2353;1466;1151;890;776;620;440;279;187
Région Flandre;72054;66509;5545;692;10856;11267;8022;7028;5841;6080;6508;5315;3214;1686;72;1282;1424;717;499;383;352;334;250;143;89
Région Wallonie;39176;35722;3454;79;3347;5101;5003;4735;4075;3682;3558;2962;1935;1245;2;403;732;582;514;388;307;210;139;101;76
Région Région de Bruxelles-capitale;7531;6522;1009;12;652;1083;950;834;700;679;609;454;299;250;3;84;197;167;138;119;117;76;51;35;22
Prov Brabant flamand;10337;9440;897;62;1253;1380;1031;1007;933;998;1078;870;518;310;10;164;195;122;82;85;71;58;51;42;17
Prov Flandre occidentale;15397;14340;1057;202;2732;2749;1668;1418;1192;1149;1249;1002;647;332;21;299;323;128;88;50;57;49;27;9;6
Prov Flandre orientale;17427;16132;1295;181;2562;2569;1994;1710;1432;1463;1632;1370;804;415;22;289;309;166;129;94;81;94;57;40;14
Prov Anvers;18980;17516;1464;156;2657;2938;2292;1911;1529;1646;1631;1421;897;438;10;287;373;208;139;101;99;103;78;36;30
Prov Limbourg;9913;9081;832;91;1652;1631;1037;982;755;824;918;652;348;191;9;243;224;93;61;53;44;30;37;16;22
Prov Brabant wallon;2483;2261;222;3;199;277;270;268;278;237;244;206;174;105;0;25;41;32;30;23;25;20;13;9;4
Prov Hainaut;16215;14756;1459;29;1289;2063;2015;2024;1706;1523;1467;1263;863;514;0;174;303;234;230;172;145;88;50;31;32
Prov Liège;12702;11557;1145;26;1079;1736;1770;1541;1328;1186;1148;880;494;369;1;117;241;213;177;126;89;68;45;41;27
Prov Namur;5388;4903;485;9;537;717;673;608;533;506;447;407;285;181;1;71;112;73;61;52;40;26;25;15;9
Prov Luxembourg;2388;2245;143;12;243;308;275;294;230;230;252;206;119;76;0;16;35;30;16;15;8;8;6;5;4
Prov Région de Bruxelles-capitale;7531;6522;1009;12;652;1083;950;834;700;679;609;454;299;250;3;84;197;167;138;119;117;76;51;35;22
