Gebied;Specialiteit;Totaal;Totaal_vrouwen;Totaal_mannen;Vrouwen_20_24;Vrouwen_25_29;Vrouwen_30_34;Vrouwen_35_39;Vrouwen_40_44;Vrouwen_45_49;Vrouwen_50_54;Vrouwen_55_59;Vrouwen_60_64;Vrouwen_65plus;Mannen_20_24;Mannen_25_29;Mannen_30_34;Mannen_35_39;Mannen_40_44;Mannen_45_49;Mannen_50_54;Mannen_55_59;Mannen_60_64;Mannen_65plus
België;ALLE APOTHEKERS;19618;13827;5791;619;2076;1459;1426;1472;1515;1336;879;1040;2005;134;586;397;441;468;496;511;479;544;1735
Gewest Vlaanderen;ALLE APOTHEKERS;11606;8143;3463;461;1324;860;829;840;835;813;494;606;1081;97;332;206;239;267;249;296;279;375;1123
Gewest Wallonië;ALLE APOTHEKERS;6188;4411;1777;135;532;436;467;517;570;410;296;336;712;28;170;115;151;159;195;171;147;134;507
Gewest Brussels hoofdstedelijk gewest;ALLE APOTHEKERS;1824;1273;551;23;220;163;130;115;110;113;89;98;212;9;84;76;51;42;52;44;53;35;105
Prov Vlaams Brabant;ALLE APOTHEKERS;2531;1835;696;76;242;213;208;197;197;187;127;143;245;11;68;56;51;68;56;69;77;57;183
Prov West-Vlaanderen;ALLE APOTHEKERS;2088;1444;644;90;193;154;134;163;141;145;84;113;227;17;41;22;38;41;38;46;47;82;272
Prov Oost-Vlaanderen;ALLE APOTHEKERS;2928;2036;892;139;402;168;205;204;217;194;107;155;245;29;96;50;56;77;77;61;58;113;275
Prov Antwerpen;ALLE APOTHEKERS;2984;2074;910;107;353;240;204;199;203;215;143;136;274;23;97;57;66;65;60;96;82;93;271
Prov Limburg;ALLE APOTHEKERS;1075;754;321;49;134;85;78;77;77;72;33;59;90;17;30;21;28;16;18;24;15;30;122
Prov Waals Brabant;ALLE APOTHEKERS;1055;771;284;8;75;74;86;95;113;63;61;69;127;2;18;18;26;32;33;30;26;22;77
Prov Henegouwen;ALLE APOTHEKERS;1767;1240;527;41;156;108;127;163;154;123;99;94;175;9;56;35;55;50;54;52;48;57;111
Prov Luik;ALLE APOTHEKERS;2051;1438;613;55;175;150;132;147;181;129;84;94;291;13;68;40;41;45;70;50;48;33;205
Prov Namen;ALLE APOTHEKERS;928;687;241;21;88;75;87;83;80;71;40;59;83;3;21;14;23;19;23;30;18;19;71
Prov Luxemburg;ALLE APOTHEKERS;387;275;112;10;38;29;35;29;42;24;12;20;36;1;7;8;6;13;15;9;7;3;43
Prov Brussels hoofdstedelijk gewest;ALLE APOTHEKERS;1824;1273;551;23;220;163;130;115;110;113;89;98;212;9;84;76;51;42;52;44;53;35;105
België;GEEN ERKENNING;18274;12721;5553;585;1841;1276;1274;1361;1412;1257;844;950;1921;129;544;361;424;447;487;487;465;522;1687
België;ZIEKENHUISFARMACIE;1344;1106;238;34;235;183;152;111;103;79;35;90;84;5;42;36;17;21;9;24;14;22;48
Gewest Vlaanderen;GEEN ERKENNING;10782;7456;3326;438;1170;753;731;774;776;764;475;545;1030;94;312;188;230;253;247;285;270;360;1087
Gewest Vlaanderen;ZIEKENHUISFARMACIE;824;687;137;23;154;107;98;66;59;49;19;61;51;3;20;18;9;14;2;11;9;15;36
Gewest Wallonië;GEEN ERKENNING;5771;4071;1700;124;465;382;423;482;531;383;281;315;685;26;153;102;149;153;189;162;144;127;495
Gewest Wallonië;ZIEKENHUISFARMACIE;417;340;77;11;67;54;44;35;39;27;15;21;27;2;17;13;2;6;6;9;3;7;12
Gewest Brussels hoofdstedelijk gewest;GEEN ERKENNING;1721;1194;527;23;206;141;120;105;105;110;88;90;206;9;79;71;45;41;51;40;51;35;105
Gewest Brussels hoofdstedelijk gewest;ZIEKENHUISFARMACIE;103;79;24;0;14;22;10;10;5;3;1;8;6;0;5;5;6;1;1;4;2;0;0
Prov Vlaams Brabant;GEEN ERKENNING;2364;1700;664;75;210;192;185;185;187;181;122;127;236;11;59;50;48;67;55;69;73;55;177
Prov Vlaams Brabant;ZIEKENHUISFARMACIE;167;135;32;1;32;21;23;12;10;6;5;16;9;0;9;6;3;1;1;0;4;2;6
Prov West-Vlaanderen;GEEN ERKENNING;1953;1332;621;87;174;130;122;148;132;138;83;103;215;17;36;21;38;37;38;44;45;80;265
Prov West-Vlaanderen;ZIEKENHUISFARMACIE;135;112;23;3;19;24;12;15;9;7;1;10;12;0;5;1;0;4;0;2;2;2;7
Prov Oost-Vlaanderen;GEEN ERKENNING;2690;1835;855;133;350;136;173;185;202;184;102;140;230;26;95;45;52;72;77;59;57;105;267
Prov Oost-Vlaanderen;ZIEKENHUISFARMACIE;238;201;37;6;52;32;32;19;15;10;5;15;15;3;1;5;4;5;0;2;1;8;8
Prov Antwerpen;GEEN ERKENNING;2780;1903;877;99;316;221;178;186;187;195;136;122;263;23;93;53;64;63;59;90;81;91;260
Prov Antwerpen;ZIEKENHUISFARMACIE;204;171;33;8;37;19;26;13;16;20;7;14;11;0;4;4;2;2;1;6;1;2;11
Prov Limburg;GEEN ERKENNING;995;686;309;44;120;74;73;70;68;66;32;53;86;17;29;19;28;14;18;23;14;29;118
Prov Limburg;ZIEKENHUISFARMACIE;80;68;12;5;14;11;5;7;9;6;1;6;4;0;1;2;0;2;0;1;1;1;4
Prov Waals Brabant;GEEN ERKENNING;992;714;278;8;69;61;77;87;108;58;59;65;122;2;17;17;25;32;33;30;25;21;76
Prov Waals Brabant;ZIEKENHUISFARMACIE;63;57;6;0;6;13;9;8;5;5;2;4;5;0;1;1;1;0;0;0;1;1;1
Prov Henegouwen;GEEN ERKENNING;1649;1145;504;35;139;94;115;154;148;111;93;89;167;9;51;34;54;48;53;47;47;55;106
Prov Henegouwen;ZIEKENHUISFARMACIE;118;95;23;6;17;14;12;9;6;12;6;5;8;0;5;1;1;2;1;5;1;2;5
Prov Luik;GEEN ERKENNING;1922;1340;582;52;153;136;123;134;167;125;80;88;282;11;59;32;41;43;67;48;48;31;202
Prov Luik;ZIEKENHUISFARMACIE;129;98;31;3;22;14;9;13;14;4;4;6;9;2;9;8;0;2;3;2;0;2;3
Prov Namen;GEEN ERKENNING;843;615;228;19;74;62;76;78;69;65;37;54;81;3;19;12;23;17;22;29;17;17;69
Prov Namen;ZIEKENHUISFARMACIE;85;72;13;2;14;13;11;5;11;6;3;5;2;0;2;2;0;2;1;1;1;2;2
Prov Luxemburg;GEEN ERKENNING;365;257;108;10;30;29;32;29;39;24;12;19;33;1;7;7;6;13;14;8;7;3;42
