Territoire;Spécialité;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;TOUTES SPECIALITES;268;170;98;78;83;2;5;0;2;0;0;0;0;26;58;12;2;0;0;0;0;0;0
Région Flandre;TOUTES SPECIALITES;134;93;41;47;41;0;4;0;1;0;0;0;0;12;23;6;0;0;0;0;0;0;0
Région Wallonie;TOUTES SPECIALITES;64;40;24;23;17;0;0;0;0;0;0;0;0;7;14;2;1;0;0;0;0;0;0
Région Région de Bruxelles-capitale;TOUTES SPECIALITES;70;37;33;8;25;2;1;0;1;0;0;0;0;7;21;4;1;0;0;0;0;0;0
Prov Brabant flamand;TOUTES SPECIALITES;32;21;11;6;12;0;3;0;0;0;0;0;0;0;8;3;0;0;0;0;0;0;0
Prov Flandre occidentale;TOUTES SPECIALITES;23;14;9;12;2;0;0;0;0;0;0;0;0;5;4;0;0;0;0;0;0;0;0
Prov Flandre orientale;TOUTES SPECIALITES;38;28;10;9;19;0;0;0;0;0;0;0;0;2;7;1;0;0;0;0;0;0;0
Prov Anvers;TOUTES SPECIALITES;29;23;6;15;6;0;1;0;1;0;0;0;0;3;2;1;0;0;0;0;0;0;0
Prov Limbourg;TOUTES SPECIALITES;12;7;5;5;2;0;0;0;0;0;0;0;0;2;2;1;0;0;0;0;0;0;0
Prov Brabant wallon;TOUTES SPECIALITES;7;4;3;2;2;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
Prov Hainaut;TOUTES SPECIALITES;10;7;3;6;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
Prov Liège;TOUTES SPECIALITES;36;20;16;10;10;0;0;0;0;0;0;0;0;4;9;2;1;0;0;0;0;0;0
Prov Namur;TOUTES SPECIALITES;8;6;2;3;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
Prov Luxembourg;TOUTES SPECIALITES;3;3;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Région de Bruxelles-capitale;TOUTES SPECIALITES;70;37;33;8;25;2;1;0;1;0;0;0;0;7;21;4;1;0;0;0;0;0;0
Belgique;DENTISTERIE GENERALE;192;121;71;66;47;1;5;0;2;0;0;0;0;22;40;8;1;0;0;0;0;0;0
Belgique;PARODONTOLOGIE;29;11;18;2;9;0;0;0;0;0;0;0;0;4;11;3;0;0;0;0;0;0;0
Belgique;ORTHODONTIE;47;38;9;10;27;1;0;0;0;0;0;0;0;0;7;1;1;0;0;0;0;0;0
Région Flandre;DENTISTERIE GENERALE;93;68;25;45;18;0;4;0;1;0;0;0;0;10;11;4;0;0;0;0;0;0;0
Région Flandre;PARODONTOLOGIE;17;4;13;0;4;0;0;0;0;0;0;0;0;2;9;2;0;0;0;0;0;0;0
Région Flandre;ORTHODONTIE;24;21;3;2;19;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
Région Wallonie;DENTISTERIE GENERALE;50;28;22;16;12;0;0;0;0;0;0;0;0;6;13;2;1;0;0;0;0;0;0
