Territoire;Spécialité;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;TOUS LES KINESITHERAPEUTES (NOMBRE DE PERSONNES);33438;19866;13572;1262;2973;1887;2289;2413;2102;2059;1887;1527;1467;644;1724;939;1260;1547;1234;1326;1497;1489;1912
Région Flandre;TOUS LES KINESITHERAPEUTES (NOMBRE DE PERSONNES);18444;11298;7146;647;1456;1142;1390;1596;1284;1148;1066;885;684;273;697;445;691;846;649;719;837;891;1098
Région Wallonie;TOUS LES KINESITHERAPEUTES (NOMBRE DE PERSONNES);11839;6739;5100;516;1077;507;776;700;711;751;663;485;553;304;681;293;452;613;508;534;550;484;681
Région Région de Bruxelles-capitale;TOUS LES KINESITHERAPEUTES (NOMBRE DE PERSONNES);3155;1829;1326;99;440;238;123;117;107;160;158;157;230;67;346;201;117;88;77;73;110;114;133
Prov Brabant flamand;TOUS LES KINESITHERAPEUTES (NOMBRE DE PERSONNES);4009;2527;1482;153;371;253;289;321;286;255;240;201;158;60;186;107;156;168;131;145;155;171;203
Prov Flandre occidentale;TOUS LES KINESITHERAPEUTES (NOMBRE DE PERSONNES);3516;2004;1512;117;224;162;259;318;224;190;210;164;136;48;92;78;157;171;145;157;204;187;273
Prov Flandre orientale;TOUS LES KINESITHERAPEUTES (NOMBRE DE PERSONNES);4213;2704;1509;137;319;287;378;393;295;278;217;227;173;49;118;85;138;186;135;191;176;189;242
Prov Anvers;TOUS LES KINESITHERAPEUTES (NOMBRE DE PERSONNES);4441;2742;1699;156;351;306;302;363;334;310;278;193;149;67;180;122;140;197;150;161;206;213;263
Prov Limbourg;TOUS LES KINESITHERAPEUTES (NOMBRE DE PERSONNES);2265;1321;944;84;191;134;162;201;145;115;121;100;68;49;121;53;100;124;88;65;96;131;117
Prov Brabant wallon;TOUS LES KINESITHERAPEUTES (NOMBRE DE PERSONNES);2102;1346;756;102;200;96;143;131;109;161;171;99;134;41;123;59;59;96;72;80;86;63;77
Prov Hainaut;TOUS LES KINESITHERAPEUTES (NOMBRE DE PERSONNES);3593;1833;1760;131;247;130;200;197;213;208;190;129;188;97;209;75;142;207;171;177;183;197;302
Prov Liège;TOUS LES KINESITHERAPEUTES (NOMBRE DE PERSONNES);3439;1987;1452;153;337;146;244;205;217;212;188;156;129;81;197;92;140;172;154;156;168;137;155
Prov Namur;TOUS LES KINESITHERAPEUTES (NOMBRE DE PERSONNES);1679;946;733;81;144;73;105;87;117;105;88;65;81;47;86;34;65;94;76;78;81;64;108
Prov Luxembourg;TOUS LES KINESITHERAPEUTES (NOMBRE DE PERSONNES);1026;627;399;49;149;62;84;80;55;65;26;36;21;38;66;33;46;44;35;43;32;23;39
Prov Région de Bruxelles-capitale;TOUS LES KINESITHERAPEUTES (NOMBRE DE PERSONNES);3155;1829;1326;99;440;238;123;117;107;160;158;157;230;67;346;201;117;88;77;73;110;114;133
Belgique;SANS AGREMENT;32837;19458;13379;1257;2877;1792;2223;2364;2067;2029;1867;1515;1467;644;1697;908;1232;1516;1216;1300;1483;1474;1909
Belgique;KINESITHERAPIE CARDIOVASCULAIRE;26;16;10;0;3;2;2;3;3;2;1;0;0;0;0;1;3;1;1;1;0;3;0
