Gebied;Totaal;Totaal_vrouwen;Totaal_mannen;Vrouwen_20_24;Vrouwen_25_29;Vrouwen_30_34;Vrouwen_35_39;Vrouwen_40_44;Vrouwen_45_49;Vrouwen_50_54;Vrouwen_55_59;Vrouwen_60_64;Vrouwen_65plus;Mannen_20_24;Mannen_25_29;Mannen_30_34;Mannen_35_39;Mannen_40_44;Mannen_45_49;Mannen_50_54;Mannen_55_59;Mannen_60_64;Mannen_65plus
België;13876;13383;493;1356;2640;1916;1677;1457;1063;1163;1090;603;418;10;26;22;28;35;27;69;85;88;103
Gewest Vlaanderen;7897;7608;289;883;1576;1149;983;875;555;605;538;281;163;6;8;9;14;24;9;37;53;60;69
Gewest Wallonië;5001;4828;173;380;790;625;606;508;450;495;493;273;208;4;6;9;12;11;17;28;29;27;30
Gewest Brussels hoofdstedelijk gewest;978;947;31;93;274;142;88;74;58;63;59;49;47;0;12;4;2;0;1;4;3;1;4
Prov Vlaams Brabant;1325;1289;36;120;272;206;163;160;83;87;106;56;36;2;3;1;1;3;1;1;15;3;6
Prov West-Vlaanderen;1713;1630;83;205;320;249;214;203;117;144;104;45;29;0;0;1;2;7;0;16;16;16;25
Prov Oost-Vlaanderen;2204;2130;74;265;441;320;292;226;155;142;154;82;53;3;2;3;8;7;5;10;6;21;9
Prov Antwerpen;1855;1787;68;212;386;262;216;197;135;146;123;73;37;1;2;2;2;6;1;10;9;15;20
Prov Limburg;800;772;28;81;157;112;98;89;65;86;51;25;8;0;1;2;1;1;2;0;7;5;9
Prov Waals Brabant;715;695;20;51;95;104;74;85;63;61;70;48;44;1;0;1;2;3;5;2;0;4;2
Prov Henegouwen;1369;1308;61;110;220;157;161;154;128;129;135;67;47;1;3;3;3;0;6;11;15;8;11
Prov Luik;1770;1710;60;122;288;214;211;163;179;172;194;102;65;2;2;4;2;6;5;11;8;10;10
Prov Namen;716;691;25;61;125;91;92;63;43;81;65;38;32;0;0;0;4;1;1;3;5;5;6
Prov Luxemburg;431;424;7;36;62;59;68;43;37;52;29;18;20;0;1;1;1;1;0;1;1;0;1
Prov Brussels hoofdstedelijk gewest;978;947;31;93;274;142;88;74;58;63;59;49;47;0;12;4;2;0;1;4;3;1;4
