Territoire;Spécialité;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;TOUTES LES SAGES-FEMMES;10969;10864;105;958;2083;1421;1255;906;1016;1189;873;449;714;4;5;4;11;14;18;17;27;5;0
Région Flandre;TOUTES LES SAGES-FEMMES;7413;7347;66;736;1330;973;944;572;692;814;594;300;392;2;1;4;4;8;15;14;15;3;0
Région Wallonie;TOUTES LES SAGES-FEMMES;2734;2703;31;170;472;320;252;284;287;304;234;126;254;1;3;0;5;4;2;3;11;2;0
Région Région de Bruxelles-capitale;TOUTES LES SAGES-FEMMES;822;814;8;52;281;128;59;50;37;71;45;23;68;1;1;0;2;2;1;0;1;0;0
Prov Brabant flamand;TOUTES LES SAGES-FEMMES;1415;1397;18;133;276;178;145;108;129;171;112;44;101;0;1;1;1;3;2;3;5;2;0
Prov Flandre occidentale;TOUTES LES SAGES-FEMMES;1482;1471;11;196;257;178;154;126;138;155;135;66;66;1;0;0;0;0;3;2;5;0;0
Prov Flandre orientale;TOUTES LES SAGES-FEMMES;1494;1478;16;163;302;208;243;112;153;135;93;36;33;0;0;0;2;2;7;4;1;0;0
Prov Anvers;TOUTES LES SAGES-FEMMES;2021;2007;14;167;330;268;276;154;183;232;170;101;126;1;0;3;1;1;2;3;2;1;0
Prov Limbourg;TOUTES LES SAGES-FEMMES;1001;994;7;77;165;141;126;72;89;121;84;53;66;0;0;0;0;2;1;2;2;0;0
Prov Brabant wallon;TOUTES LES SAGES-FEMMES;373;368;5;15;60;45;22;34;51;44;35;20;42;0;1;0;0;0;0;1;2;1;0
Prov Hainaut;TOUTES LES SAGES-FEMMES;804;794;10;47;136;90;75;100;99;90;78;45;34;0;0;0;1;1;2;1;5;0;0
Prov Liège;TOUTES LES SAGES-FEMMES;863;851;12;50;168;120;88;81;66;84;63;36;95;1;1;0;3;3;0;1;2;1;0
Prov Namur;TOUTES LES SAGES-FEMMES;476;474;2;40;79;47;43;43;45;57;35;18;67;0;0;0;1;0;0;0;1;0;0
Prov Luxembourg;TOUTES LES SAGES-FEMMES;218;216;2;18;29;18;24;26;26;29;23;7;16;0;1;0;0;0;0;0;1;0;0
