Gebied;Totaal;Totaal_vrouwen;Totaal_mannen;Vrouwen_20_24;Vrouwen_25_29;Vrouwen_30_34;Vrouwen_35_39;Vrouwen_40_44;Vrouwen_45_49;Vrouwen_50_54;Vrouwen_55_59;Vrouwen_60_64;Vrouwen_65plus;Mannen_20_24;Mannen_25_29;Mannen_30_34;Mannen_35_39;Mannen_40_44;Mannen_45_49;Mannen_50_54;Mannen_55_59;Mannen_60_64;Mannen_65plus
België;1272;826;446;14;715;58;18;13;5;1;2;0;0;5;378;41;12;5;1;2;2;0;0
Gewest Vlaanderen;661;436;225;8;383;22;7;10;5;1;0;0;0;3;197;17;5;1;1;0;1;0;0
Gewest Wallonië;402;247;155;2;219;18;6;1;0;0;1;0;0;1;130;13;7;2;0;1;1;0;0
Gewest Brussels hoofdstedelijk gewest;209;143;66;4;113;18;5;2;0;0;1;0;0;1;51;11;0;2;0;1;0;0;0
Prov Vlaams Brabant;130;81;49;1;71;5;2;0;2;0;0;0;0;1;41;4;1;1;1;0;0;0;0
Prov West-Vlaanderen;113;69;44;1;64;2;1;1;0;0;0;0;0;1;39;3;0;0;0;0;1;0;0
Prov Oost-Vlaanderen;166;120;46;4;108;7;1;0;0;0;0;0;0;1;37;7;1;0;0;0;0;0;0
Prov Antwerpen;170;123;47;2;101;7;2;8;2;1;0;0;0;0;43;2;2;0;0;0;0;0;0
Prov Limburg;82;43;39;0;39;1;1;1;1;0;0;0;0;0;37;1;1;0;0;0;0;0;0
Prov Waals Brabant;47;32;15;0;30;1;0;1;0;0;0;0;0;0;13;1;0;1;0;0;0;0;0
Prov Henegouwen;128;78;50;1;69;6;2;0;0;0;0;0;0;0;45;3;2;0;0;0;0;0;0
Prov Luik;137;82;55;0;69;10;2;0;0;0;1;0;0;1;43;6;3;1;0;1;0;0;0
Prov Namen;62;39;23;1;37;0;1;0;0;0;0;0;0;0;21;2;0;0;0;0;0;0;0
Prov Luxemburg;28;16;12;0;14;1;1;0;0;0;0;0;0;0;8;1;2;0;0;0;1;0;0
Prov Brussels hoofdstedelijk gewest;209;143;66;4;113;18;5;2;0;0;1;0;0;1;51;11;0;2;0;1;0;0;0
