Gebied;Totaal;Totaal_vrouwen;Totaal_mannen;Vrouwen_20_24;Vrouwen_25_29;Vrouwen_30_34;Vrouwen_35_39;Vrouwen_40_44;Vrouwen_45_49;Vrouwen_50_54;Vrouwen_55_59;Vrouwen_60_64;Vrouwen_65plus;Mannen_20_24;Mannen_25_29;Mannen_30_34;Mannen_35_39;Mannen_40_44;Mannen_45_49;Mannen_50_54;Mannen_55_59;Mannen_60_64;Mannen_65plus
België;134;123;11;3;10;20;6;20;18;23;8;6;9;2;1;1;2;3;1;1;0;0;0
Gewest Vlaanderen;98;93;5;1;4;16;5;17;14;19;6;6;5;0;0;0;2;2;1;0;0;0;0
Gewest Wallonië;21;19;2;0;4;3;1;3;2;1;2;0;3;1;0;0;0;0;0;1;0;0;0
Gewest Brussels hoofdstedelijk gewest;15;11;4;2;2;1;0;0;2;3;0;0;1;1;1;1;0;1;0;0;0;0;0
Prov Vlaams Brabant;13;13;0;0;0;2;0;3;1;3;0;2;2;0;0;0;0;0;0;0;0;0;0
Prov West-Vlaanderen;24;22;2;0;1;1;0;5;3;8;2;1;1;0;0;0;2;0;0;0;0;0;0
Prov Oost-Vlaanderen;33;32;1;0;2;7;5;6;4;5;1;1;1;0;0;0;0;0;1;0;0;0;0
Prov Antwerpen;22;21;1;1;1;5;0;3;5;2;3;1;0;0;0;0;0;1;0;0;0;0;0
Prov Limburg;6;5;1;0;0;1;0;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0
Prov Waals Brabant;3;3;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Henegouwen;6;6;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
Prov Luik;7;7;0;0;0;2;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0
Prov Namen;2;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Prov Luxemburg;3;1;2;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0
Prov Brussels hoofdstedelijk gewest;15;11;4;2;2;1;0;0;2;3;0;0;1;1;1;1;0;1;0;0;0;0;0
