Gebied;Specialiteit;Totaal;Totaal_vrouwen;Totaal_mannen;Vrouwen_20_24;Vrouwen_25_29;Vrouwen_30_34;Vrouwen_35_39;Vrouwen_40_44;Vrouwen_45_49;Vrouwen_50_54;Vrouwen_55_59;Vrouwen_60_64;Vrouwen_65plus;Mannen_20_24;Mannen_25_29;Mannen_30_34;Mannen_35_39;Mannen_40_44;Mannen_45_49;Mannen_50_54;Mannen_55_59;Mannen_60_64;Mannen_65plus
België;ALLE SPECIALITEITEN;28545;11866;16679;0;32;1533;1725;1891;1818;1440;1151;872;1404;0;7;867;1157;1572;1585;1811;2168;2122;5390
Gewest Vlaanderen;ALLE SPECIALITEITEN;15401;6268;9133;0;21;890;955;1049;1055;805;553;401;539;0;3;506;669;917;903;1013;1230;1191;2701
Gewest Wallonië;ALLE SPECIALITEITEN;9290;3767;5523;0;7;390;502;595;556;454;413;304;546;0;3;224;338;447;526;622;709;711;1943
Gewest Brussels hoofdstedelijk gewest;ALLE SPECIALITEITEN;3854;1831;2023;0;4;253;268;247;207;181;185;167;319;0;1;137;150;208;156;176;229;220;746
Prov Vlaams Brabant;ALLE SPECIALITEITEN;4145;1865;2280;0;10;244;270;338;314;228;168;126;167;0;1;138;157;235;230;267;325;279;648
Prov West-Vlaanderen;ALLE SPECIALITEITEN;2513;847;1666;0;3;134;132;126;134;116;58;56;88;0;0;76;118;135;144;164;204;214;611
Prov Oost-Vlaanderen;ALLE SPECIALITEITEN;3329;1404;1925;0;5;210;240;216;224;178;133;77;121;0;1;116;142;201;190;222;244;248;561
Prov Antwerpen;ALLE SPECIALITEITEN;3868;1570;2298;0;3;220;224;267;278;196;145;117;120;0;1;137;174;232;236;260;316;309;633
Prov Limburg;ALLE SPECIALITEITEN;1546;582;964;0;0;82;89;102;105;87;49;25;43;0;0;39;78;114;103;100;141;141;248
Prov Waals Brabant;ALLE SPECIALITEITEN;1978;816;1162;0;2;68;95;119;113;108;124;65;122;0;0;33;77;90;123;137;165;143;394
Prov Henegouwen;ALLE SPECIALITEITEN;2441;944;1497;0;1;96;119;155;133;98;97;86;159;0;0;41;79;105;133;171;197;202;569
Prov Luik;ALLE SPECIALITEITEN;3052;1302;1750;0;3;163;188;194;196;160;115;100;183;0;3;99;111;145;162;190;209;224;607
Prov Namen;ALLE SPECIALITEITEN;1342;520;822;0;1;48;74;88;87;61;59;37;65;0;0;46;60;79;84;87;95;101;270
Prov Luxemburg;ALLE SPECIALITEITEN;477;185;292;0;0;15;26;39;27;27;18;16;17;0;0;5;11;28;24;37;43;41;103
Prov Brussels hoofdstedelijk gewest;ALLE SPECIALITEITEN;3854;1831;2023;0;4;253;268;247;207;181;185;167;319;0;1;137;150;208;156;176;229;220;746
België;ARBEIDSGENEESKUNDE;1178;646;532;0;1;8;38;118;120;107;110;71;73;0;0;1;6;48;31;41;90;107;208
België;ANESTHESIE-REANIMATIE;2596;1070;1526;0;0;173;148;161;180;121;70;72;145;0;0;130;149;202;207;195;201;166;276
België;HEELKUNDE;1763;346;1417;0;0;52;64;63;55;32;25;30;25;0;0;64;112;134;145;145;166;175;476
België;NEUROCHIRURGIE;245;30;215;0;0;9;2;4;7;5;2;0;1;0;0;18;25;33;29;18;22;22;48
