Territoire;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;11032;8479;2553;631;1287;1097;1004;747;795;1038;919;785;176;242;497;374;269;215;179;206;271;248;52
Région Flandre;6084;4933;1151;425;716;547;569;451;510;654;540;432;89;148;235;135;113;74;66;83;134;136;27
Région Wallonie;4169;2985;1184;164;474;455;365;255;242;335;332;298;65;83;228;198;121;117;91;107;121;98;20
Région Région de Bruxelles-capitale;779;561;218;42;97;95;70;41;43;49;47;55;22;11;34;41;35;24;22;16;16;14;5
Prov Brabant flamand;1398;1075;323;70;133;102;128;96;120;142;148;112;24;27;55;30;28;25;21;29;51;49;8
Prov Flandre occidentale;1025;829;196;88;142;94;88;63;84;102;84;74;10;30;47;32;7;12;17;17;16;14;4
Prov Flandre orientale;1342;1118;224;96;134;139;127;112;120;153;103;106;28;29;37;30;28;14;10;13;22;35;6
Prov Anvers;1574;1291;283;111;195;126;151;122;133;183;150;100;20;30;53;30;43;19;15;17;36;32;8
Prov Limbourg;745;620;125;60;112;86;75;58;53;74;55;40;7;32;43;13;7;4;3;7;9;6;1
Prov Brabant wallon;486;354;132;11;48;48;40;24;47;41;51;37;7;0;27;29;10;11;15;12;10;15;3
Prov Hainaut;1600;1132;468;70;174;180;142;100;80;130;121;114;21;47;90;86;44;40;31;43;42;35;10
Prov Liège;1241;913;328;64;156;141;111;72;62;103;87;91;26;23;67;52;42;33;18;20;41;27;5
Prov Namur;660;450;210;16;72;70;61;45;39;46;48;44;9;9;34;27;23;31;19;27;22;16;2
Prov Luxembourg;182;136;46;3;24;16;11;14;14;15;25;12;2;4;10;4;2;2;8;5;6;5;0
Prov Région de Bruxelles-capitale;779;561;218;42;97;95;70;41;43;49;47;55;22;11;34;41;35;24;22;16;16;14;5
