Gebied-Specialiteit;Unnamed: 1;Unnamed: 2;Totaal;Geslacht;Unnamed: 5;Vrouw;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Man;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24;Unnamed: 25
;;;;Vrouw;Man;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+
;België;Alle apothekers;20615.0;14622;5993;540;2132;1732;1444;1453;1497;1536;1011;867;2410;123;585;531;377;489;447;547;496;451;1947
;Vlaams Gewest;Alle apothekers;12294.0;8704;3590;392;1433;1032;860;854;842;902;579;486;1324;83;350;276;197;280;240;304;286;291;1283
;Waals Gewest;Alle apothekers;6450.0;4616;1834;125;502;519;443;492;546;514;340;297;838;33;153;160;132;159;166;199;161;122;549
;Brussels Hoofdstedelijk Gewest;Alle apothekers;1871.0;1302;569;23;197;181;141;107;109;120;92;84;248;7;82;95;48;50;41;44;49;38;115
;Vlaams Brabant;Alle apothekers;2635.0;1907;728;57;243;206;214;223;181;212;149;120;302;13;66;66;50;60;58;81;63;64;207
;West-Vlaanderen;Alle apothekers;2205.0;1537;668;85;224;167;143;146;157;155;101;90;269;22;39;31;27;50;32;40;52;66;309
;Oost-Vlaanderen;Alle apothekers;3149.0;2221;928;120;409;279;193;236;212;218;121;114;319;18;110;71;53;75;75;69;63;78;316
;Antwerpen;Alle apothekers;3173.0;2245;928;96;400;280;241;172;220;230;168;120;318;19;100;79;48;66;60;87;90;66;313
;Limburg;Alle apothekers;1132.0;794;338;34;157;100;69;77;72;87;40;42;116;11;35;29;19;29;15;27;18;17;138
;Waals Brabant;Alle apothekers;1120.0;827;293;14;59;96;76;101;96;102;60;65;158;3;13;23;20;33;33;35;23;20;90
;Henegouwen;Alle apothekers;1821.0;1281;540;30;146;130;122;140;158;148;107;87;213;12;49;45;46;51;45;56;56;45;135
;Luik;Alle apothekers;2116.0;1488;628;45;187;155;142;131;175;157;102;86;308;12;66;62;38;40;53;70;50;33;204
;Namen;Alle apothekers;991.0;734;257;29;78;98;73;87;81;73;56;48;111;5;18;20;20;22;22;26;24;21;79
;Luxemburg;Alle apothekers;402.0;286;116;7;32;40;30;33;36;34;15;11;48;1;7;10;8;13;13;12;8;3;41
;Brussels Hoofdstedelijk Gewest;Alle apothekers;1871.0;1302;569;23;197;181;141;107;109;120;92;84;248;7;82;95;48;50;41;44;49;38;115
;België;Geen FOD-erkenning;19463.0;13640;5823;516;1918;1515;1299;1347;1403;1457;973;821;2391;122;551;489;362;471;437;531;482;441;1937
;Vlaams Gewest;Geen FOD-erkenning;11589.0;8089;3500;375;1289;901;766;794;787;848;558;460;1311;83;334;256;188;266;236;297;279;286;1275
;Waals Gewest;Geen FOD-erkenning;6091.0;4318;1773;118;447;451;404;456;513;491;323;281;834;32;136;143;131;156;161;191;158;118;547
;Brussels Hoofdstedelijk Gewest;Geen FOD-erkenning;1783.0;1233;550;23;182;163;129;97;103;118;92;80;246;7;81;90;43;49;40;43;45;37;115
;Vlaams Brabant;Geen FOD-erkenning;2498.0;1795;703;56;222;185;189;211;175;202;145;112;298;13;58;58;47;59;57;81;62;63;205
;West-Vlaanderen;Geen FOD-erkenning;2090.0;1436;654;80;202;143;129;134;151;146;100;86;265;22;38;25;27;48;32;38;51;65;308
;Oost-Vlaanderen;Geen FOD-erkenning;2948.0;2047;901;117;366;230;170;213;199;206;118;113;315;18;106;69;49;68;74;68;62;76;311
;Antwerpen;Geen FOD-erkenning;2991.0;2081;910;89;363;252;215;165;199;214;156;111;317;19;98;76;47;63;59;83;87;65;313
;Limburg;Geen FOD-erkenning;1062.0;730;332;33;136;91;63;71;63;80;39;38;116;11;34;28;18;28;14;27;17;17;138
;Waals Brabant;Geen FOD-erkenning;1067.0;778;289;14;55;87;69;88;92;99;56;63;155;3;11;22;20;33;33;35;22;20;90
;Henegouwen;Geen FOD-erkenning;1713.0;1191;522;26;128;113;107;132;150;139;102;81;213;11;42;43;46;49;44;54;55;44;134
;Luik;Geen FOD-erkenning;2004.0;1405;599;43;170;134;135;122;163;150;98;83;307;12;59;50;37;40;51;65;50;31;204
;Namen;Geen FOD-erkenning;924.0;674;250;29;68;80;66;81;73;71;52;43;111;5;17;19;20;21;21;26;23;20;78
;Luxemburg;Geen FOD-erkenning;383.0;270;113;6;26;37;27;33;35;32;15;11;48;1;7;9;8;13;12;11;8;3;41
;Brussels Hoofdstedelijk Gewest;Geen FOD-erkenning;1783.0;1233;550;23;182;163;129;97;103;118;92;80;246;7;81;90;43;49;40;43;45;37;115
;België;Ziekenhuisapothekers;1152.0;982;170;24;214;217;145;106;94;79;38;46;19;1;34;42;15;18;10;16;14;10;10
;Vlaams Gewest;Ziekenhuisapothekers;705.0;615;90;17;144;131;94;60;55;54;21;26;13;0;16;20;9;14;4;7;7;5;8
;Waals Gewest;Ziekenhuisapothekers;359.0;298;61;7;55;68;39;36;33;23;17;16;4;1;17;17;1;3;5;8;3;4;2
;Brussels Hoofdstedelijk Gewest;Ziekenhuisapothekers;88.0;69;19;0;15;18;12;10;6;2;0;4;2;0;1;5;5;1;1;1;4;1;0
;Vlaams Brabant;Ziekenhuisapothekers;137.0;112;25;1;21;21;25;12;6;10;4;8;4;0;8;8;3;1;1;0;1;1;2
;West-Vlaanderen;Ziekenhuisapothekers;115.0;101;14;5;22;24;14;12;6;9;1;4;4;0;1;6;0;2;0;2;1;1;1
;Oost-Vlaanderen;Ziekenhuisapothekers;201.0;174;27;3;43;49;23;23;13;12;3;1;4;0;4;2;4;7;1;1;1;2;5
;Antwerpen;Ziekenhuisapothekers;182.0;164;18;7;37;28;26;7;21;16;12;9;1;0;2;3;1;3;1;4;3;1;0
;Limburg;Ziekenhuisapothekers;70.0;64;6;1;21;9;6;6;9;7;1;4;0;0;1;1;1;1;1;0;1;0;0
;Waals Brabant;Ziekenhuisapothekers;53.0;49;4;0;4;9;7;13;4;3;4;2;3;0;2;1;0;0;0;0;1;0;0
;Henegouwen;Ziekenhuisapothekers;108.0;90;18;4;18;17;15;8;8;9;5;6;0;1;7;2;0;2;1;2;1;1;1
;Luik;Ziekenhuisapothekers;112.0;83;29;2;17;21;7;9;12;7;4;3;1;0;7;12;1;0;2;5;0;2;0
;Namen;Ziekenhuisapothekers;67.0;60;7;0;10;18;7;6;8;2;4;5;0;0;1;1;0;1;1;0;1;1;1
;Luxemburg;Ziekenhuisapothekers;19.0;16;3;1;6;3;3;0;1;2;0;0;0;0;0;1;0;0;1;1;0;0;0
;Brussels Hoofdstedelijk Gewest;Ziekenhuisapothekers;88.0;69;19;0;15;18;12;10;6;2;0;4;2;0;1;5;5;1;1;1;4;1;0
