Gebied-Specialiteit;Unnamed: 1;Totaal;Geslacht;Unnamed: 4;Vrouw;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Man;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14
;;;Vrouw;Man;30-34;35-39;40-44;45-49;55-59;30-34;35-39;40-44;45-49;50-54
België;Alle specialiteiten;190.0;108;82;84;12;6;5;1;68;5;4;3;2
;Functionele en professionele revalidatie van gehandicapten;29.0;14;15;9;1;1;3;0;9;4;1;0;1
;Mond-, kaak- en aangezichtschirurgie;8.0;4;4;4;0;0;0;0;4;0;0;0;0
;Intensieve zorgen;49.0;24;25;20;1;1;1;1;22;1;1;1;0
;Pediatrische neurologie;14.0;12;2;12;0;0;0;0;2;0;0;0;0
;Nefrologie;14.0;7;7;7;0;0;0;0;7;0;0;0;0
;Urgentiegeneeskunde;28.0;14;14;8;2;3;1;0;9;0;2;2;1
;Endocrino-diabetologie;11.0;7;4;4;2;1;0;0;4;0;0;0;0
;Neonatologie;6.0;4;2;3;1;0;0;0;2;0;0;0;0
;Oncologie;19.0;13;6;9;4;0;0;0;6;0;0;0;0
;Pediatrische hematologie en oncologie;5.0;5;0;4;1;0;0;0;0;0;0;0;0
;Klinische hematologie;7.0;4;3;4;0;0;0;0;3;0;0;0;0
Vlaams Gewest;Alle specialiteiten;122.0;64;58;51;7;4;2;0;51;2;3;1;1
;Functionele en professionele revalidatie van gehandicapten;19.0;7;12;5;1;0;1;0;9;2;0;0;1
;Mond-, kaak- en aangezichtschirurgie;4.0;1;3;1;0;0;0;0;3;0;0;0;0
;Intensieve zorgen;38.0;18;20;16;1;0;1;0;19;0;1;0;0
;Pediatrische neurologie;7.0;6;1;6;0;0;0;0;1;0;0;0;0
;Nefrologie;6.0;4;2;4;0;0;0;0;2;0;0;0;0
;Urgentiegeneeskunde;20.0;10;10;6;1;3;0;0;7;0;2;1;0
;Endocrino-diabetologie;8.0;4;4;2;1;1;0;0;4;0;0;0;0
;Neonatologie;3.0;3;0;2;1;0;0;0;0;0;0;0;0
;Oncologie;10.0;7;3;5;2;0;0;0;3;0;0;0;0
;Pediatrische hematologie en oncologie;2.0;2;0;2;0;0;0;0;0;0;0;0;0
;Klinische hematologie;5.0;2;3;2;0;0;0;0;3;0;0;0;0
Waals Gewest;Alle specialiteiten;35.0;21;14;16;1;1;2;1;9;2;0;2;1
;Functionele en professionele revalidatie van gehandicapten;6.0;4;2;2;0;1;1;0;0;2;0;0;0
;Mond-, kaak- en aangezichtschirurgie;1.0;1;0;1;0;0;0;0;0;0;0;0;0
;Intensieve zorgen;5.0;3;2;2;0;0;0;1;1;0;0;1;0
;Pediatrische neurologie;4.0;3;1;3;0;0;0;0;1;0;0;0;0
;Nefrologie;4.0;1;3;1;0;0;0;0;3;0;0;0;0
;Urgentiegeneeskunde;5.0;3;2;1;1;0;1;0;0;0;0;1;1
;Neonatologie;1.0;0;1;0;0;0;0;0;1;0;0;0;0
;Oncologie;6.0;3;3;3;0;0;0;0;3;0;0;0;0
;Pediatrische hematologie en oncologie;2.0;2;0;2;0;0;0;0;0;0;0;0;0
;Klinische hematologie;1.0;1;0;1;0;0;0;0;0;0;0;0;0
