Territoire;Total;Genre;Unnamed: 3;Femme;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Homme;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18
;;Femme;Homme;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;-25;25-29;30-34;35-39;40-44;45-49;55-59
Belgique;1892.0;1269;623;181;973;81;17;9;6;1;1;82;467;49;11;7;5;2
Région flamande;840.0;553;287;89;415;29;7;7;5;1;0;35;226;18;4;2;1;1
Région wallonne;778.0;524;254;81;405;31;6;0;0;0;1;43;181;20;6;1;2;1
Région de Bruxelles Capitale;274.0;192;82;11;153;21;4;2;1;0;0;4;60;11;1;4;2;0
Brabant flamand;183.0;116;67;16;87;7;2;1;3;0;0;5;54;6;1;0;1;0
Flandre occidentale;135.0;81;54;14;64;0;2;0;1;0;0;6;42;4;1;0;0;1
Flandre orientale;214.0;148;66;31;106;11;0;0;0;0;0;6;52;4;2;2;0;0
Anvers;202.0;148;54;21;109;8;3;6;0;1;0;14;36;4;0;0;0;0
Limbourg;106.0;60;46;7;49;3;0;0;1;0;0;4;42;0;0;0;0;0
Brabant Wallon;103.0;77;26;11;61;5;0;0;0;0;0;4;20;1;0;0;1;0
Hainaut;255.0;176;79;32;131;11;2;0;0;0;0;20;53;3;2;1;0;0
Liège;253.0;163;90;21;126;12;3;0;0;0;1;10;66;10;3;0;1;0
Namur;110.0;72;38;11;60;0;1;0;0;0;0;6;27;5;0;0;0;0
Luxembourg;57.0;36;21;6;27;3;0;0;0;0;0;3;15;1;1;0;0;1
Région de Bruxelles Capitale;274.0;192;82;11;153;21;4;2;1;0;0;4;60;11;1;4;2;0
