Territoire-Spécialité;Unnamed: 1;Total;Genre;Unnamed: 4;Femme;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Homme;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21
;;;Femme;Homme;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64
Belgique;Toutes les spécialités;6222.0;3528;2694;331;2477;622;55;20;17;5;1;227;1853;536;47;14;12;3;1;1
;Gériatrie;121.0;95;26;8;51;33;2;0;1;0;0;1;13;12;0;0;0;0;0;0
;Médecine d'urgence;501.0;266;235;20;168;65;9;2;1;1;0;9;141;60;14;3;6;2;0;0
;Médecine légale;13.0;8;5;0;8;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0
;Anesthésie-réanimation;678.0;285;393;29;207;40;7;2;0;0;0;36;264;82;8;1;2;0;0;0
;Chirurgie;386.0;188;198;17;131;38;1;0;1;0;0;19;137;38;3;1;0;0;0;0
;Neurochirurgie;73.0;25;48;1;18;6;0;0;0;0;0;6;28;14;0;0;0;0;0;0
;"Chirurgie plastique, reconstructrice et
esthétique";57.0;28;29;2;17;9;0;0;0;0;0;2;17;9;1;0;0;0;0;0
;Urologie;146.0;66;80;6;43;15;2;0;0;0;0;5;54;21;0;0;0;0;0;0
;Chirurgie orthopédique;290.0;86;204;8;52;26;0;0;0;0;0;12;143;43;4;1;1;0;0;0
;Neurologie;180.0;118;62;14;81;22;1;0;0;0;0;10;42;10;0;0;0;0;0;0
;"Psychiatrie, particulièrement en psychiatrie
infanto-juvénile";149.0;126;23;11;85;28;1;1;0;0;0;3;15;5;0;0;0;0;0;0
;"Psychiatrie, particulièrement en psychiatrie
adulte";287.0;169;118;17;106;35;6;2;1;2;0;6;94;16;1;0;1;0;0;0
;Pneumologie;77.0;43;34;0;22;21;0;0;0;0;0;2;19;13;0;0;0;0;0;0
;Gastro-entérologie;98.0;58;40;2;30;24;1;1;0;0;0;0;20;20;0;0;0;0;0;0
;Cardiologie;129.0;52;77;0;26;26;0;0;0;0;0;2;36;38;1;0;0;0;0;0
;Médecine interne;872.0;477;395;64;377;31;2;3;0;0;0;55;292;42;4;2;0;0;0;0
;Rhumatologie;31.0;23;8;0;11;11;1;0;0;0;0;1;4;3;0;0;0;0;0;0
;Médecine aiguë;29.0;11;18;3;6;1;1;0;0;0;0;0;15;2;1;0;0;0;0;0
;Gynécologie-obstétrique;353.0;310;43;30;240;36;3;1;0;0;0;6;34;3;0;0;0;0;0;0
;Ophtalmologie;166.0;98;68;10;75;10;2;1;0;0;0;10;50;5;2;0;1;0;0;0
;Oto-rhino-laryngologie;139.0;90;49;4;72;13;0;0;1;0;0;5;37;7;0;0;0;0;0;0
;Stomatologie;76.0;27;49;5;22;0;0;0;0;0;0;4;33;12;0;0;0;0;0;0
;Dermato-vénéréologie;112.0;93;19;12;77;4;0;0;0;0;0;2;16;1;0;0;0;0;0;0
;Pédiatrie;477.0;401;76;43;302;53;3;0;0;0;0;9;56;11;0;0;0;0;0;0
;Médecine physique et réadaptation;121.0;63;58;9;45;6;1;1;1;0;0;2;46;10;0;0;0;0;0;0
;Biologie clinique;73.0;32;41;3;21;6;1;1;0;0;0;2;29;8;1;1;0;0;0;0
;Radiodiagnostic;278.0;100;178;7;75;15;1;1;1;0;0;10;149;17;2;0;0;0;0;0
;Radiothérapie - oncologie;52.0;25;27;0;20;5;0;0;0;0;0;2;17;7;0;1;0;0;0;0
;Médecine nucléaire;41.0;17;24;1;11;5;0;0;0;0;0;1;15;7;0;1;0;0;0;0
;Anatomie pathologique;69.0;45;24;3;37;5;0;0;0;0;0;2;18;2;1;1;0;0;0;0
;Oncologie médicale;65.0;42;23;1;21;20;0;0;0;0;0;1;10;11;1;0;0;0;0;0
;Génétique clinique;12.0;8;4;1;6;0;1;0;0;0;0;2;1;1;0;0;0;0;0;0
;Médecine du travail;71.0;53;18;0;14;13;9;4;10;2;1;0;3;6;3;2;1;1;1;1
Région flamande;Toutes les spécialités;3217.0;1827;1390;202;1276;306;23;9;9;2;0;135;971;251;23;6;4;0;0;0
;Gériatrie;46.0;36;10;1;19;16;0;0;0;0;0;0;3;7;0;0;0;0;0;0
;Médecine d'urgence;212.0;114;98;10;73;29;1;1;0;0;0;7;59;24;6;1;1;0;0;0
;Médecine légale;8.0;6;2;0;6;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;Anesthésie-réanimation;349.0;147;202;18;110;14;4;1;0;0;0;24;140;32;4;1;1;0;0;0
;Chirurgie;199.0;93;106;11;60;20;1;0;1;0;0;12;76;17;0;1;0;0;0;0
;Neurochirurgie;41.0;13;28;1;9;3;0;0;0;0;0;4;16;8;0;0;0;0;0;0
;"Chirurgie plastique, reconstructrice et
esthétique";34.0;15;19;1;10;4;0;0;0;0;0;1;11;6;1;0;0;0;0;0
;Urologie;94.0;43;51;5;30;7;1;0;0;0;0;5;36;10;0;0;0;0;0;0
;Chirurgie orthopédique;153.0;44;109;6;26;12;0;0;0;0;0;9;76;21;3;0;0;0;0;0
;Neurologie;101.0;70;31;7;46;16;1;0;0;0;0;5;23;3;0;0;0;0;0;0
;"Psychiatrie, particulièrement en psychiatrie
infanto-juvénile";82.0;71;11;6;50;15;0;0;0;0;0;2;9;0;0;0;0;0;0;0
;"Psychiatrie, particulièrement en psychiatrie
adulte";161.0;96;65;13;60;20;2;0;1;0;0;5;51;8;0;0;1;0;0;0
;Pneumologie;29.0;17;12;0;7;10;0;0;0;0;0;0;7;5;0;0;0;0;0;0
;Gastro-entérologie;49.0;26;23;0;13;13;0;0;0;0;0;0;10;13;0;0;0;0;0;0
;Cardiologie;52.0;19;33;0;11;8;0;0;0;0;0;0;15;18;0;0;0;0;0;0
;Médecine interne;473.0;271;202;47;209;11;2;2;0;0;0;25;153;21;2;1;0;0;0;0
;Rhumatologie;13.0;10;3;0;1;8;1;0;0;0;0;0;1;2;0;0;0;0;0;0
;Médecine aiguë;24.0;9;15;3;4;1;1;0;0;0;0;0;12;2;1;0;0;0;0;0
;Gynécologie-obstétrique;200.0;174;26;17;133;20;3;1;0;0;0;3;21;2;0;0;0;0;0;0
;Ophtalmologie;91.0;55;36;7;41;6;1;0;0;0;0;7;24;3;1;0;1;0;0;0
;Oto-rhino-laryngologie;80.0;59;21;4;46;8;0;0;1;0;0;3;17;1;0;0;0;0;0;0
;Stomatologie;43.0;15;28;4;11;0;0;0;0;0;0;3;18;7;0;0;0;0;0;0
;Dermato-vénéréologie;61.0;53;8;6;45;2;0;0;0;0;0;1;6;1;0;0;0;0;0;0
