Territoire-Spécialité;Unnamed: 1;Unnamed: 2;Total;Genre;Unnamed: 5;Femme;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Homme;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24;Unnamed: 25
;;;;Femme;Homme;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+
;Belgique;"Toutes les
sages-femmes";12085.0;11980;105;811;2207;1772;1401;1085;968;1029;1154;691;862;1;5;6;6;12;14;18;22;18;3
;Région flamande;"Toutes les
sages-femmes";8250.0;8182;68;623;1474;1156;1033;786;628;703;809;457;513;1;2;4;4;5;7;17;16;10;2
;Région wallonne;"Toutes les
sages-femmes";2995.0;2967;28;136;515;428;295;252;300;281;282;200;278;0;1;1;1;5;5;1;6;7;1
;"Région de Bruxelles
Capitale";"Toutes les
sages-femmes";840.0;831;9;52;218;188;73;47;40;45;63;34;71;0;2;1;1;2;2;0;0;1;0
;Brabant flamand;"Toutes les
sages-femmes";1572.0;1554;18;107;283;236;184;132;124;143;157;82;106;0;0;1;1;2;2;3;4;3;2
;Flandre occidentale;"Toutes les
sages-femmes";1640.0;1629;11;150;301;217;180;145;127;146;157;111;95;0;1;1;0;0;0;2;5;2;0
;Flandre orientale;"Toutes les
sages-femmes";1679.0;1661;18;112;351;259;241;183;139;129;135;65;47;1;0;1;1;2;2;7;4;0;0
;Anvers;"Toutes les
sages-femmes";2221.0;2207;14;149;367;293;279;222;159;197;240;131;170;0;1;1;2;1;1;3;2;3;0
;Limbourg;"Toutes les
sages-femmes";1138.0;1131;7;105;172;151;149;104;79;88;120;68;95;0;0;0;0;0;2;2;1;2;0
;Brabant Wallon;"Toutes les
sages-femmes";408.0;404;4;16;62;58;34;33;39;47;40;31;44;0;0;0;0;0;0;1;1;1;1
;Hainaut;"Toutes les
sages-femmes";899.0;888;11;48;137;129;91;77;104;92;82;74;54;0;1;0;0;1;3;0;1;5;0
;Liège;"Toutes les
sages-femmes";911.0;901;10;41;157;149;100;81;82;70;73;57;91;0;0;0;1;4;2;0;3;0;0
;Namur;"Toutes les
sages-femmes";525.0;524;1;17;111;66;51;39;51;38;59;22;70;0;0;0;0;0;0;0;1;0;0
;Luxembourg;"Toutes les
sages-femmes";252.0;250;2;14;48;26;19;22;24;34;28;16;19;0;0;1;0;0;0;0;0;1;0
;"Région de Bruxelles
Capitale";"Toutes les
sages-femmes";840.0;831;9;52;218;188;73;47;40;45;63;34;71;0;2;1;1;2;2;0;0;1;0
;Belgique;"Sans habilitation à
prescrire";10978.0;10880;98;605;1794;1633;1279;1007;916;986;1118;680;862;1;2;5;6;12;13;18;22;16;3
;Région flamande;"Sans habilitation à
prescrire";7706.0;7642;64;522;1295;1092;952;741;606;681;787;453;513;1;0;3;4;5;6;17;16;10;2
;Région wallonne;"Sans habilitation à
prescrire";2592.0;2567;25;52;355;380;271;229;276;261;269;196;278;0;0;1;1;5;5;1;6;5;1
;"Région de Bruxelles
Capitale";"Sans habilitation à
prescrire";680.0;671;9;31;144;161;56;37;34;44;62;31;71;0;2;1;1;2;2;0;0;1;0
;Brabant flamand;"Sans habilitation à
prescrire";1432.0;1414;18;84;247;212;167;113;119;136;149;81;106;0;0;1;1;2;2;3;4;3;2
;Flandre occidentale;"Sans habilitation à
prescrire";1548.0;1538;10;129;269;208;167;137;125;144;154;110;95;0;0;1;0;0;0;2;5;2;0
;Flandre orientale;"Sans habilitation à
prescrire";1540.0;1522;18;83;308;243;218;177;131;123;128;64;47;1;0;1;1;2;2;7;4;0;0
;Anvers;"Sans habilitation à
prescrire";2108.0;2097;11;132;327;281;261;214;153;192;237;130;170;0;0;0;2;1;0;3;2;3;0
;Limbourg;"Sans habilitation à
prescrire";1078.0;1071;7;94;144;148;139;100;78;86;119;68;95;0;0;0;0;0;2;2;1;2;0
;Brabant Wallon;"Sans habilitation à
prescrire";361.0;357;4;9;42;53;31;30;33;46;38;31;44;0;0;0;0;0;0;1;1;1;1
;Hainaut;"Sans habilitation à
prescrire";751.0;743;8;14;90;105;82;72;94;81;77;74;54;0;0;0;0;1;3;0;1;3;0
;Liège;"Sans habilitation à
prescrire";833.0;823;10;17;132;144;94;76;77;66;71;55;91;0;0;0;1;4;2;0;3;0;0
;Namur;"Sans habilitation à
prescrire";444.0;443;1;9;66;57;45;32;48;38;58;20;70;0;0;0;0;0;0;0;1;0;0
;Luxembourg;"Sans habilitation à
prescrire";203.0;201;2;3;25;21;19;19;24;30;25;16;19;0;0;1;0;0;0;0;0;1;0
;"Région de Bruxelles
Capitale";"Sans habilitation à
prescrire";680.0;671;9;31;144;161;56;37;34;44;62;31;71;0;2;1;1;2;2;0;0;1;0
;Belgique;"Prescription de
médicaments";1107.0;1100;7;206;413;139;122;78;52;43;36;11;0;0;3;1;0;0;1;0;0;2;0
;Région flamande;"Prescription de
médicaments";544.0;540;4;101;179;64;81;45;22;22;22;4;0;0;2;1;0;0;1;0;0;0;0
;Région wallonne;"Prescription de
médicaments";403.0;400;3;84;160;48;24;23;24;20;13;4;0;0;1;0;0;0;0;0;0;2;0
;"Région de Bruxelles
Capitale";"Prescription de
médicaments";160.0;160;0;21;74;27;17;10;6;1;1;3;0;0;0;0;0;0;0;0;0;0;0
;Brabant flamand;"Prescription de
médicaments";140.0;140;0;23;36;24;17;19;5;7;8;1;0;0;0;0;0;0;0;0;0;0;0
;Flandre occidentale;"Prescription de
médicaments";92.0;91;1;21;32;9;13;8;2;2;3;1;0;0;1;0;0;0;0;0;0;0;0
;Flandre orientale;"Prescription de
médicaments";139.0;139;0;29;43;16;23;6;8;6;7;1;0;0;0;0;0;0;0;0;0;0;0
;Anvers;"Prescription de
médicaments";113.0;110;3;17;40;12;18;8;6;5;3;1;0;0;1;1;0;0;1;0;0;0;0
