Gebied-Specialiteit;Unnamed: 1;Totaal;Geslacht;Unnamed: 4;Vrouw;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Man;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18
;;;Vrouw;Man;-25;25-29;30-34;35-39;40-44;45-49;-25;25-29;30-34;35-39;40-44;50-54;55-59;60-64
België;Alle specialiteiten;354.0;232;122;105;112;11;2;1;1;26;66;21;3;1;1;3;1
;Algemeen tandarts;277.0;179;98;90;76;9;2;1;1;20;53;16;3;1;1;3;1
;Parodontologie;27.0;14;13;6;8;0;0;0;0;3;7;3;0;0;0;0;0
;Orthodontie;50.0;39;11;9;28;2;0;0;0;3;6;2;0;0;0;0;0
Vlaams Gewest;Alle specialiteiten;168.0;109;59;67;39;2;1;0;0;15;27;14;1;1;1;0;0
;Algemeen tandarts;123.0;78;45;57;19;1;1;0;0;11;20;11;1;1;1;0;0
;Parodontologie;19.0;8;11;4;4;0;0;0;0;2;6;3;0;0;0;0;0
;Orthodontie;26.0;23;3;6;16;1;0;0;0;2;1;0;0;0;0;0;0
Waals Gewest;Alle specialiteiten;89.0;66;23;30;34;2;0;0;0;7;14;2;0;0;0;0;0
;Algemeen tandarts;71.0;53;18;26;25;2;0;0;0;5;12;1;0;0;0;0;0
;Parodontologie;6.0;4;2;1;3;0;0;0;0;1;1;0;0;0;0;0;0
;Orthodontie;12.0;9;3;3;6;0;0;0;0;1;1;1;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Alle specialiteiten;97.0;57;40;8;39;7;1;1;1;4;25;5;2;0;0;3;1
;Algemeen tandarts;83.0;48;35;7;32;6;1;1;1;4;21;4;2;0;0;3;1
;Parodontologie;2.0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
;Orthodontie;12.0;7;5;0;6;1;0;0;0;0;4;1;0;0;0;0;0
Vlaams Brabant;Alle specialiteiten;43.0;23;20;11;11;1;0;0;0;8;9;2;0;0;1;0;0
;Algemeen tandarts;26.0;15;11;10;4;1;0;0;0;6;4;0;0;0;1;0;0
;Parodontologie;11.0;3;8;0;3;0;0;0;0;1;5;2;0;0;0;0;0
;Orthodontie;6.0;5;1;1;4;0;0;0;0;1;0;0;0;0;0;0;0
West-Vlaanderen;Alle specialiteiten;29.0;22;7;16;6;0;0;0;0;2;2;3;0;0;0;0;0
;Algemeen tandarts;22.0;15;7;14;1;0;0;0;0;2;2;3;0;0;0;0;0
;Parodontologie;3.0;3;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0
;Orthodontie;4.0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
Oost-Vlaanderen;Alle specialiteiten;40.0;26;14;15;10;1;0;0;0;3;7;3;0;1;0;0;0
;Algemeen tandarts;26.0;16;10;11;5;0;0;0;0;2;5;2;0;1;0;0;0
;Parodontologie;5.0;2;3;2;0;0;0;0;0;1;1;1;0;0;0;0;0
;Orthodontie;9.0;8;1;2;5;1;0;0;0;0;1;0;0;0;0;0;0
Antwerpen;Alle specialiteiten;42.0;28;14;20;8;0;0;0;0;2;5;6;1;0;0;0;0
;Algemeen tandarts;37.0;24;13;18;6;0;0;0;0;1;5;6;1;0;0;0;0
;Orthodontie;5.0;4;1;2;2;0;0;0;0;1;0;0;0;0;0;0;0
Limburg;Alle specialiteiten;14.0;10;4;5;4;0;1;0;0;0;4;0;0;0;0;0;0
;Algemeen tandarts;12.0;8;4;4;3;0;1;0;0;0;4;0;0;0;0;0;0
;Orthodontie;2.0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Waals Brabant;Alle specialiteiten;11.0;10;1;5;4;1;0;0;0;1;0;0;0;0;0;0;0
;Algemeen tandarts;10.0;9;1;4;4;1;0;0;0;1;0;0;0;0;0;0;0
;Parodontologie;1.0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Henegouwen;Alle specialiteiten;18.0;11;7;5;5;1;0;0;0;3;4;0;0;0;0;0;0
;Algemeen tandarts;14.0;7;7;5;1;1;0;0;0;3;4;0;0;0;0;0;0
;Parodontologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;Orthodontie;3.0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
Luik;Alle specialiteiten;51.0;37;14;16;21;0;0;0;0;3;10;1;0;0;0;0;0
;Algemeen tandarts;41.0;32;9;14;18;0;0;0;0;1;8;0;0;0;0;0;0
;Parodontologie;3.0;1;2;0;1;0;0;0;0;1;1;0;0;0;0;0;0
;Orthodontie;7.0;4;3;2;2;0;0;0;0;1;1;1;0;0;0;0;0
Namen;Alle specialiteiten;8.0;7;1;4;3;0;0;0;0;0;0;1;0;0;0;0;0
;Algemeen tandarts;5.0;4;1;3;1;0;0;0;0;0;0;1;0;0;0;0;0
;Parodontologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;Orthodontie;2.0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Luxemburg;Alle specialiteiten;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;Algemeen tandarts;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Alle specialiteiten;97.0;57;40;8;39;7;1;1;1;4;25;5;2;0;0;3;1
;Algemeen tandarts;83.0;48;35;7;32;6;1;1;1;4;21;4;2;0;0;3;1
;Parodontologie;2.0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
;Orthodontie;12.0;7;5;0;6;1;0;0;0;0;4;1;0;0;0;0;0
