Territoire;Total;Genre;Unnamed: 3;Femme;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Homme;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19
;;Femme;Homme;-25;25-29;30-34;35-39;40-44;45-49;50-54;60-64;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59
Belgique;2237.0;1473;764;193;1139;97;24;12;1;6;1;64;603;69;14;6;5;2;1
Région flamande;1080.0;703;377;111;538;35;9;5;0;4;1;41;299;27;5;1;3;1;0
Région wallonne;797.0;534;263;70;413;40;6;3;1;1;0;20;206;26;7;1;1;1;1
Région de Bruxelles Capitale;360.0;236;124;12;188;22;9;4;0;1;0;3;98;16;2;4;1;0;0
Brabant flamand;240.0;160;80;26;119;8;2;3;0;2;0;4;68;6;1;0;1;0;0
Flandre occidentale;162.0;113;49;17;92;3;0;0;0;1;0;7;39;3;0;0;0;0;0
Flandre orientale;297.0;178;119;33;127;12;4;1;0;0;1;17;93;6;1;0;2;0;0
Anvers;289.0;198;91;28;157;9;2;1;0;1;0;8;69;11;2;1;0;0;0
Limbourg;92.0;54;38;7;43;3;1;0;0;0;0;5;30;1;1;0;0;1;0
Brabant Wallon;98.0;71;27;6;57;5;2;0;1;0;0;0;24;1;2;0;0;0;0
Hainaut;245.0;178;67;21;140;13;1;3;0;0;0;7;53;6;1;0;0;0;0
Liège;282.0;166;116;23;126;15;2;0;0;0;0;8;90;12;3;1;1;0;1
Namur;109.0;75;34;9;63;2;1;0;0;0;0;4;23;6;1;0;0;0;0
Luxembourg;63.0;44;19;11;27;5;0;0;0;1;0;1;16;1;0;0;0;1;0
Région de Bruxelles Capitale;360.0;236;124;12;188;22;9;4;0;1;0;3;98;16;2;4;1;0;0
