Territoire;Total;Genre;Unnamed: 3;Femme;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Homme;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21
;;Femme;Homme;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+
Belgique;17492.0;7854;9638;773;1495;932;633;813;809;637;839;923;323;611;354;326;442;537;744;1602;4699
Région flamande;9778.0;4320;5458;396;877;549;371;497;487;374;414;355;178;345;209;183;246;311;443;925;2618
Région wallonne;6016.0;2691;3325;310;452;285;202;246;259;214;303;420;115;185;103;108;153;184;234;554;1689
Région de Bruxelles Capitale;1698.0;843;855;67;166;98;60;70;63;49;122;148;30;81;42;35;43;42;67;123;392
Brabant flamand;2030.0;975;1055;72;171;125;80;116;108;90;106;107;34;62;39;46;52;65;96;166;495
Flandre occidentale;1739.0;614;1125;65;128;95;56;66;69;42;53;40;27;80;33;28;52;61;68;182;594
Flandre orientale;2249.0;997;1252;110;232;143;88;94;94;83;80;73;41;82;43;42;55;71;108;215;595
Anvers;2510.0;1176;1334;103;235;123;95;158;148;105;121;88;44;78;57;42;59;74;107;243;630
Limbourg;1250.0;558;692;46;111;63;52;63;68;54;54;47;32;43;37;25;28;40;64;119;304
Brabant Wallon;895.0;457;438;34;75;54;41;49;46;39;40;79;11;34;12;17;13;27;29;78;217
Hainaut;1872.0;795;1077;109;131;85;50;52;78;65;93;132;39;53;38;35;38;52;70;188;564
Liège;1814.0;776;1038;84;134;85;52;72;75;64;93;117;35;56;33;35;53;61;73;177;515
Namur;983.0;452;531;52;76;39;45;54;29;33;54;70;21;28;16;13;30;30;46;80;267
Luxembourg;452.0;211;241;31;36;22;14;19;31;13;23;22;9;14;4;8;19;14;16;31;126
Région de Bruxelles Capitale;1698.0;843;855;67;166;98;60;70;63;49;122;148;30;81;42;35;43;42;67;123;392
