Territoire;Unnamed: 1;Total;Genre;Unnamed: 4;Femme;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Homme;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24
;;;Femme;Homme;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+
"Tous les professionnels de la
santé mentale";Belgique;13591.0;11771;1820;427;2580;2398;1988;1637;1131;665;499;305;141;13;191;244;245;244;218;176;207;157;125
;Région flamande;9379.0;8220;1159;382;1940;1750;1402;1098;699;422;300;162;65;11;136;155;151;162;127;106;135;100;76
;Région wallonne;3092.0;2619;473;31;447;469;431;430;343;174;146;98;50;1;37;60;76;54;67;53;50;41;34
;"Région de Bruxelles
Capitale";1120.0;932;188;14;193;179;155;109;89;69;53;45;26;1;18;29;18;28;24;17;22;16;15
;Brabant flamand;2060.0;1814;246;78;393;340;291;246;181;121;92;50;22;3;26;28;32;33;29;21;33;21;20
;Flandre occidentale;1262.0;1105;157;82;273;221;185;147;83;53;36;18;7;1;16;21;14;25;17;11;25;15;12
;Flandre orientale;2681.0;2304;377;106;556;454;377;327;214;130;72;50;18;2;45;53;48;59;45;38;39;28;20
;Anvers;2298.0;2019;279;83;469;503;351;257;155;89;67;29;16;2;37;36;44;34;26;29;28;28;15
;Limbourg;1078.0;978;100;33;249;232;198;121;66;29;33;15;2;3;12;17;13;11;10;7;10;8;9
;Brabant Wallon;634.0;547;87;4;61;92;93;84;90;45;34;29;15;0;5;14;11;12;12;10;10;6;7
;Hainaut;760.0;642;118;12;106;124;93;106;86;48;32;22;13;0;7;11;19;14;20;13;9;9;16
;Liège;1076.0;908;168;10;188;149;167;152;97;53;49;31;12;1;17;18;31;21;20;19;20;16;5
;Namur;456.0;379;77;5;61;78;61;66;45;22;22;10;9;0;5;15;12;6;8;9;10;7;5
;Luxembourg;166.0;143;23;0;31;26;17;22;25;6;9;6;1;0;3;2;3;1;7;2;1;3;1
;"Région de Bruxelles
Capitale";1120.0;932;188;14;193;179;155;109;89;69;53;45;26;1;18;29;18;28;24;17;22;16;15
Psychologue clinicien;Belgique;12141.0;10423;1718;362;2219;2093;1786;1461;1019;619;454;277;133;12;170;230;235;232;205;168;199;150;117
;Région flamande;7967.0;6908;1059;317;1591;1452;1203;929;591;377;257;134;57;10;115;141;142;151;114;98;127;93;68
;Région wallonne;3072.0;2601;471;31;441;467;430;428;339;173;144;98;50;1;37;60;75;53;67;53;50;41;34
;"Région de Bruxelles
Capitale";1102.0;914;188;14;187;174;153;104;89;69;53;45;26;1;18;29;18;28;24;17;22;16;15
;Brabant flamand;1777.0;1551;226;66;339;281;252;213;156;104;79;42;19;2;23;25;28;33;26;21;31;20;17
;Flandre occidentale;1038.0;898;140;66;216;186;155;109;66;46;33;16;5;1;12;19;14;22;15;10;23;14;10
;Flandre orientale;2283.0;1942;341;89;447;366;325;289;182;119;64;45;16;2;38;45;45;54;39;36;37;27;18
;Anvers;1991.0;1730;261;70;386;438;303;219;135;82;59;23;15;2;32;36;43;31;24;26;27;26;14
;Limbourg;878.0;787;91;26;203;181;168;99;52;26;22;8;2;3;10;16;12;11;10;5;9;6;9
;Brabant Wallon;626.0;539;87;4;60;91;93;82;88;45;32;29;15;0;5;14;11;12;12;10;10;6;7
;Hainaut;757.0;639;118;12;104;124;93;106;86;47;32;22;13;0;7;11;19;14;20;13;9;9;16
;Liège;1071.0;905;166;10;187;149;166;152;96;53;49;31;12;1;17;18;30;20;20;19;20;16;5
;Namur;453.0;376;77;5;60;77;61;66;44;22;22;10;9;0;5;15;12;6;8;9;10;7;5
;Luxembourg;165.0;142;23;0;30;26;17;22;25;6;9;6;1;0;3;2;3;1;7;2;1;3;1
