Gebied;Totaal;Geslacht;Unnamed: 3;Vrouw;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Man;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23
;;Vrouw;Man;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+
België;122203.0;112019;10184;13546;12976;13324;12880;12144;10604;10455;10366;8119;7605;1764;1641;1480;1158;1060;876;767;642;402;394
Vlaams Gewest;75004.0;69212;5792;9931;8427;8148;7561;6920;6095;6348;6482;5003;4297;1298;997;851;580;480;409;371;368;238;200
Waals Gewest;40640.0;37121;3519;3111;3855;4529;4672;4547;3928;3527;3353;2740;2859;387;523;535;456;480;368;290;206;123;151
Brussels Hoofdstedelijk Gewest;6559.0;5686;873;504;694;647;647;677;581;580;531;376;449;79;121;94;122;100;99;106;68;41;43
Vlaams Brabant;10917.0;10012;905;1301;987;1069;1042;1003;982;1009;1065;808;746;182;117;117;93;87;84;66;58;50;51
West-Vlaanderen;15023.0;13939;1084;2102;1945;1784;1414;1285;1169;1167;1238;952;883;322;210;171;93;79;65;51;53;26;14
Oost-Vlaanderen;18437.0;17080;1357;2462;1978;1988;1912;1719;1506;1530;1631;1280;1074;306;214;203;146;107;102;93;94;51;41
Antwerpen;20132.0;18605;1527;2645;2294;2132;2180;1898;1597;1718;1607;1351;1183;288;283;214;164;136;99;100;107;74;62
Limburg;10495.0;9576;919;1421;1223;1175;1013;1015;841;924;941;612;411;200;173;146;84;71;59;61;56;37;32
Waals Brabant;2466.0;2251;215;201;186;210;241;267;245;236;230;188;247;21;27;29;29;24;30;21;17;8;9
Henegouwen;17175.0;15670;1505;1249;1644;1977;1904;1968;1681;1478;1390;1161;1218;160;222;230;198;219;164;130;86;46;50
Luik;12910.0;11775;1135;951;1235;1478;1621;1469;1257;1118;1061;810;775;116;164;173;150;154;113;94;69;40;62
Namen;5462.0;4986;476;455;563;575;608;550;512;469;431;389;434;57;80;77;52;60;46;33;26;23;22
Luxemburg;2627.0;2439;188;255;227;289;298;293;233;226;241;192;185;33;30;26;27;23;15;12;8;6;8
Brussels Hoofdstedelijk Gewest;6559.0;5686;873;504;694;647;647;677;581;580;531;376;449;79;121;94;122;100;99;106;68;41;43
