Territoire-Spécialité;Unnamed: 1;Unnamed: 2;Total;Genre;Unnamed: 5;Femme;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Homme;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24;Unnamed: 25
;;;;Femme;Homme;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+
;Belgique;Tous les kinésithérapeutes;41535.0;25063;16472;1611;4374;3289;1750;2178;2531;2140;2049;1988;3153;756;2757;1988;888;1045;1665;1253;1257;1481;3382
;"Région
flamande";Tous les kinésithérapeutes;23356.0;14641;8715;851;2559;1834;1064;1359;1671;1357;1132;1134;1680;349;1318;937;454;593;912;647;672;829;2004
;"Région
wallonne";Tous les kinésithérapeutes;14794.0;8480;6314;593;1375;1189;562;731;755;688;773;709;1105;317;1068;799;336;376;654;537;513;560;1154
;"Région de
Bruxelles
Capitale";Tous les kinésithérapeutes;3385.0;1942;1443;167;440;266;124;88;105;95;144;145;368;90;371;252;98;76;99;69;72;92;224
;"Brabant
flamand";Tous les kinésithérapeutes;5000.0;3179;1821;170;515;451;247;291;330;282;276;238;379;82;283;212;120;139;183;133;137;150;382
;"Flandre
occidentale";Tous les kinésithérapeutes;4356.0;2604;1752;152;430;300;135;242;337;243;210;222;333;59;202;118;60;135;193;141;140;227;477
;"Flandre
orientale";Tous les kinésithérapeutes;5345.0;3483;1862;192;611;394;264;363;427;323;244;250;415;74;308;176;80;116;201;131;185;165;426
;Anvers;Tous les kinésithérapeutes;5746.0;3628;2118;216;690;444;280;314;372;341;298;302;371;73;354;272;130;116;207;158;141;201;466
;Limbourg;Tous les kinésithérapeutes;2909.0;1747;1162;121;313;245;138;149;205;168;104;122;182;61;171;159;64;87;128;84;69;86;253
;Brabant Wallon;Tous les kinésithérapeutes;2573.0;1629;944;108;217;213;107;128;149;123;159;170;255;54;158;120;66;50;110;78;71;96;141
;Hainaut;Tous les kinésithérapeutes;4380.0;2280;2100;137;343;310;138;190;209;208;220;194;331;92;325;262;97;116;214;177;168;190;459
;Liège;Tous les kinésithérapeutes;4293.0;2498;1795;205;421;335;160;229;220;195;221;205;307;97;307;217;80;123;178;163;153;167;310
;Namur;Tous les kinésithérapeutes;2119.0;1211;908;76;210;172;87;106;94;105;109;104;148;38;151;111;47;48;103;78;83;72;177
;Luxembourg;Tous les kinésithérapeutes;1429.0;862;567;67;184;159;70;78;83;57;64;36;64;36;127;89;46;39;49;41;38;35;67
