Territoire-Spécialité;Unnamed: 1;Unnamed: 2;Total;Genre;Unnamed: 5;Femme;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Homme;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24;Unnamed: 25
;;;;Femme;Homme;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+
;Belgique;Tous les pharmaciens;22508.0;16255;6253;581;2083;2224;1592;1458;1484;1504;1449;926;2954;118;537;656;480;420;482;486;520;477;2077
;Région flamande;Tous les pharmaciens;13518.0;9795;3723;384;1353;1475;953;885;862;829;872;518;1664;79;307;372;248;223;278;253;298;284;1381
;Région wallonne;Tous les pharmaciens;6966.0;5059;1907;171;496;547;502;455;511;568;467;331;1011;29;144;184;150;151;162;189;178;143;577
;"Région de Bruxelles
Capitale";Tous les pharmaciens;2024.0;1401;623;26;234;202;137;118;111;107;110;77;279;10;86;100;82;46;42;44;44;50;119
;Brabant flamand;Tous les pharmaciens;2874.0;2127;747;57;251;256;212;225;220;195;196;133;382;13;47;70;73;52;66;62;69;70;225
;Flandre occidentale;Tous les pharmaciens;2405.0;1727;678;89;232;228;159;137;152;143;154;94;339;9;41;46;27;33;50;34;45;51;342
;Flandre orientale;Tous les pharmaciens;3518.0;2532;986;120;402;414;225;223;224;214;203;109;398;36;101;94;62;58;72;82;67;64;350
;Anvers;Tous les pharmaciens;3525.0;2543;982;86;368;430;261;226;187;205;237;147;396;13;91;128;63;55;71;55;93;82;331
;Limbourg;Tous les pharmaciens;1196.0;866;330;32;100;147;96;74;79;72;82;35;149;8;27;34;23;25;19;20;24;17;133
;Brabant Wallon;Tous les pharmaciens;1236.0;910;326;12;67;85;94;80;109;112;78;69;204;1;18;30;23;25;32;43;30;21;103
;Hainaut;Tous les pharmaciens;1969.0;1422;547;46;141;155;133;121;153;158;136;109;270;11;36;54;48;50;49;46;53;45;155
;Liège;Tous les pharmaciens;2225.0;1601;624;65;170;188;151;145;127;183;147;90;335;9;52;66;53;37;48;66;51;53;189
;Namur;Tous les pharmaciens;1079.0;792;287;32;72;83;86;78;87;79;76;52;147;6;30;24;18;29;18;22;32;18;90
;Luxembourg;Tous les pharmaciens;457.0;334;123;16;46;36;38;31;35;36;30;11;55;2;8;10;8;10;15;12;12;6;40
